,,,,,,,,,,,,,,1483,,,,,,,,,,,,,,,,,,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perubahan progress 18 Mar 2025 (WS -1),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,,,
Job Code,"Client 
Code",Client,Subject,Subs,Year,PD,Co-PD,PM,Co-PM,Service Type,BED-Market Type,BUMN Ekosistem,Project Type,Service,Service Group,reserved,reserved,reserved,reserved,reserved,reserved,Sales Value,VAT (10%),Zoho Status,ADM Status,Sales Won Date,Contract Finished Date,Account Manager,Status Info,Status Date,Next Update,SPK date (yyyy-mm-dd),Contract End date (yyyy-mm-dd),Contract Addendum End date,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Deadline by Contract/Addendum,Budget Link,Sales (DPP),Cancelled,Invoiceable,BAST Sent,Billed,Paid,Work Status,Cutoff KPI,Cancelled (%),Billed (%),Paid (%),Last Invoice Date,Last Payment Received,Order to Cash,BAST Sent %,Progress end of April 2026,temp progress matching,Job Code V2,Check Jobcode V2,Cutoff Progress awal 2026
BCDR007,KPK01,Komisi Pemberantasan Korupsi,BCP Development (training dan menyusun BIA),VPRC,2013,AOW,#N/A,NVN,,IT Advisory,3.2. Lembaga Pemerintah Nonkementerian,,Advisory,Business Continuity and Disaster Recovery,,,,,,,,"123,690,000",0,,-1,,,,,,,8/1/2013,,,100%,,,,,,,,,,,,"123,690,000",-,"123,690,000","123,690,000","123,690,000","123,690,000",2,2,0%,100%,100%,8/1/2013,1899-12-30,,100%,100%,100%,,0,100%
BCDR008,IDS01,Indosat Ooredoo,Consultant services for BCM Enhancement,VPRC,2013,AOW,#N/A,MSM,,IT Advisory,10.4. Penyedia Jasa dan Jaringan Telekomunikasi,,Advisory,Business Continuity and Disaster Recovery,,,,,,,,"219,120,000",1,,2,,,,,,,10/30/2013,4/28/2014,,100%,,,,,,,,,,4/28/2014,,"199,200,000",-,"199,200,000","199,200,000","199,200,000","199,200,000",2,2,0%,100%,100%,4/28/2014,1899-12-30,,100%,100%,100%,,0,100%
BCDR009,BCI01,PT Bumiputera Sekuritas,Compliance Review Business Continuity Plan,VPRC,2014,TSR,#N/A,SHS,,IT Audit & Assurance,1.2.2. Perusahaan Efek,,Assurance,Business Continuity and Disaster Recovery,,,,,,,,"22,000,000",1,,2,,,,,,,1/10/2014,1/17/2014,,40%,60%,,,,,,,,,1/17/2014,,"20,000,000",-,"20,000,000","20,000,000","20,000,000","20,000,000",2,2,0%,100%,100%,1/17/2014,1899-12-30,,100%,100%,100%,,0,100%
BCDR010,BNI01,PT BNI Securities,BCP Review & VA,VPRC,2014,TSR,#N/A,NVN,,IT Audit & Assurance,1.2.2. Perusahaan Efek,,Assurance,Business Continuity and Disaster Recovery,,,,,,,,"41,800,000",1,,2,,,,,,,1/20/2014,1/30/2014,,50%,50%,,,,,,,,,1/30/2014,,"38,000,000",-,"38,000,000","38,000,000","38,000,000","38,000,000",2,2,0%,100%,100%,1/30/2014,1899-12-30,,100%,100%,100%,,0,100%
BCDR011,ACA02,PT Aldiracita Corpotama,BCP Review,VPRC,2014,TSR,#N/A,SHS,,IT Audit & Assurance,1.2.2. Perusahaan Efek,,Assurance,Business Continuity and Disaster Recovery,,,,,,,,"19,800,000",1,,2,,,,,,,1/25/2014,2/1/2014,,100%,,,,,,,,,,2/1/2014,,"18,000,000",-,"18,000,000","18,000,000","18,000,000","18,000,000",2,2,0%,100%,100%,2/1/2014,1899-12-30,,100%,100%,100%,,0,100%
BCDR012,INS01,Investindo Nusantara Sekuritas,BCP Review,VPRC,2014,TSR,#N/A,SHS,,IT Audit & Assurance,1.2.2. Perusahaan Efek,,Assurance,Business Continuity and Disaster Recovery,,,,,,,,"19,800,000",1,,2,,,,,,,1/20/2014,2/6/2014,,100%,,,,,,,,,,2/6/2014,,"18,000,000",-,"18,000,000","18,000,000","18,000,000","18,000,000",2,2,0%,100%,100%,2/6/2014,1899-12-30,,100%,100%,100%,,0,100%
BCDR013,ATA02,PT Arkalogic Transaksi (Moneta),Jasa Outsource – Pengembangan BCP dan DRP pada PT Arkalogic Transaksi,VPRC,2014,TSR,#N/A,NVN,,IT Advisory,1.3.6. Fintech,,Assurance,Business Continuity and Disaster Recovery,,,,,,1,,"32,224,500",1,,2,,,,,,,2/6/2014,3/20/2014,,100%,,,,,,,,,,3/20/2014,,"29,295,000",-,"29,295,000","29,295,000","29,295,000","29,295,000",2,2,0%,100%,100%,3/20/2014,1899-12-30,,100%,100%,100%,,0,100%
BCDR014,BNI01,PT BNI Securities,Review Remote Trading & VA Datacenter & DRC,VPRC,2014,TSR,#N/A,SHS,,IT Audit & Assurance,1.2.2. Perusahaan Efek,,Assurance,Business Continuity and Disaster Recovery,,,,,,,,"33,000,000",1,,2,,,,,,,2/4/2014,2/12/2014,,50%,50%,,,,,,,,,2/12/2014,,"30,000,000",-,"30,000,000","30,000,000","30,000,000","30,000,000",2,2,0%,100%,100%,2/12/2014,1899-12-30,,100%,100%,100%,,0,100%
BCDR015,KPK01,Komisi Pemberantasan Korupsi,Penyusunan Dokumen Recovery Strategy,VPRC,2014,AOW,#N/A,NVN,,IT Advisory,3.2. Lembaga Pemerintah Nonkementerian,,Assurance,Business Continuity and Disaster Recovery,,,,,,,,"58,500,000",0,,-1,,,,,,,3/1/2014,,,100%,,,,,,,,,,,,"58,500,000",-,"58,500,000","58,500,000","58,500,000","58,500,000",2,2,0%,100%,100%,3/1/2014,1899-12-30,,100%,100%,100%,,0,100%
BCDR016,DVI01,PT DBS Vickers Securities Indonesia,Compliance Review Business Continuity Plan & Vulnerability Assessment,VPRC,2014,TSR,#N/A,FTN,,IT Audit & Assurance,1.2.2. Perusahaan Efek,,Assurance,Business Continuity and Disaster Recovery,,,,,,,,"38,500,000",1,,2,,,,,,,4/1/2014,4/1/2015,,40%,60%,,,,,,,,,4/1/2015,,"35,000,000",-,"35,000,000","35,000,000","35,000,000","35,000,000",2,2,0%,100%,100%,4/2/2015,1899-12-30,,100%,100%,100%,,0,100%
BCDR017,IDS01,Indosat Ooredoo,"Consultant services for BCM Enhancement (BIA, DRP)",VPRC,2014,AOW,#N/A,MSM,,IT Advisory,10.4. Penyedia Jasa dan Jaringan Telekomunikasi,,Advisory,Business Continuity and Disaster Recovery,,,,,,,,,0,,-1,,,,,,,,,,,,,,,,,,,,,,-,-,-,0,0,-,-1,2,100%,,,4/3/2015,1899-12-30,,#DIV/0!,100%,100%,,0,100%
BCDR018,HKR01,PT Hardana Kacida Reana,Jasa Outsource – Pengembangan BCP dan DRP,VPRC,2015,TSR,#N/A,NVN,,IT Advisory,1.3.6. Fintech,,Advisory,Business Continuity and Disaster Recovery,,,,,,1,,"36,600,000",0,,2,,,,,,,1/6/2015,1/23/2015,,100%,,,,,,,,,,1/23/2015,,"36,600,000",-,"36,600,000","36,600,000","36,600,000","36,600,000",2,2,0%,100%,100%,8/7/2015,5/26/2016,4. > 6 months,100%,100%,100%,,0,100%
BCDR019,TPN01,PT Bank Tabungan Pensiunan Nasional Tbk,Jasa Konsultasi Penyusunan BIA dan BCP Digital Banking,VPRC,2015,AOW,#N/A,NVN,,IT Advisory,1.1.1. Bank Umum,,,Business Continuity and Disaster Recovery,,,,,,,,"904,895,000",1,,2,,,,,,,5/19/2015,9/30/2015,12/31/2015,20%,25%,25%,30%,,,,,,,12/31/2015,,"822,631,818",-,"822,631,818","822,631,818","822,631,818","822,631,818",2,2,0%,100%,100%,12/3/2015,12/17/2015,4. > 6 months,100%,100%,100%,,0,100%
