,,,,,,,,,Outstanding work (incl on hold project),,,,,Eval Period,1-Jun-26,30-Jun-26,,,,,last update,,"08 Jun 2026 : 

Reschedule :",,,,,Target Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/6/2026,,,,,,,,"34,188,406,629",,,,,,,,,,,,,,,,,,,"34,162,406,628",-,"24,200,000",-,"10,349,631,016","19,686,350,400","4,102,225,212",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"550,000,000","800,000,000","550,000,000","550,000,000","550,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(525,800,000)","(1,325,800,000)","8,473,831,016","27,610,181,417","31,162,406,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Contracts,,,,,,,,,Deliverables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Job 
Code","Client 
Code",Year,PD,PM,WS,Client,Subject,T,Fee,SPK Date,Deadline by Contract/Addendum,Service,Terms Requirements,Kontrak #,Monitoring,Delivery Status,BAST #,BAST Sent (yyyy-mm-dd),BAST Received (yyyy-mm-dd),Baseline delivery (yyyy-mm-dd),Plan delivery (yyyy-mm-dd),Delayed (Days),Last Status,Term Status,Invoice Sent (yyyy-mm-dd),Payment Estimate (yyyy-mm-dd),Payment Received (yyyy-mm-dd),Total Target Invoice,Overdue,Apr-26,May-26,Jun-26,Jul-26,Unscheduled,On Hold,ADM Status,Cutoff KPI,Co-PM,Co-PD,GTG-D,THD-D,TSR-D,SSM-D,DGS-D,MKR-D,RRR-D,NAR-D,CYH-D,DDM-D,AAM-D,JRM-D,NAW-D,HZP-D,ABH-D,DTP-D,IFI-D,IMC-D,HZR-D,Unmapped,GTG-D,THD-D,TSR-D,SSM-D,DGS-D,MKR-D,RRR-D,NAR-D,CYH-D,DDM-D,AAM-D,JRM-D,NAW-D,HZP-D,ABH-D,DTP-D,IFI-D,IMC-D,HZR-D,Service Group,Count Check,Jobcode V2
BCDR007,KPK01,2013,AOW,NVN,2,Komisi Pemberantasan Korupsi,BCP Development (training dan menyusun BIA),t1,"123,690,000",8/1/2013,,Business Continuity and Disaster Recovery,,1,,,2,,8/1/2013,,,Need Plan,,2,8/1/2013,,,-,-,-,-,-,-,-,-,-1,2,,#N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"123,690,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
BCDR008,IDS01,2013,AOW,MSM,2,Indosat Ooredoo,Consultant services for BCM Enhancement,t1,"199,200,000",10/30/2013,4/28/2014,Business Continuity and Disaster Recovery,,0,,,2,,4/28/2014,4/28/2014,4/28/2014,0.00,,2,4/28/2014,,,-,-,-,-,-,-,-,-,2,2,,#N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"199,200,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
BCDR009,BCI01,2014,TSR,SHS,2,Bumiputera Sekuritas,BCP Review,t1,"8,000,000",1/10/2014,1/17/2014,Business Continuity and Disaster Recovery,,0,,,2,,1/17/2014,1/17/2014,1/17/2014,0.00,,2,1/17/2014,,,-,-,-,-,-,-,-,-,2,2,,#N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
BCDR009,BCI01,2014,TSR,SHS,2,Bumiputera Sekuritas,BCP Review,t2,"12,000,000",1/10/2014,1/17/2014,Business Continuity and Disaster Recovery,,0,,,2,,1/17/2014,1/17/2014,1/17/2014,0.00,,2,1/17/2014,,,-,-,-,-,-,-,-,-,2,2,,#N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
